match_id,round,player_economy,team_economy,type_of_buy,weapons,econ_effectiveness,round_end_reward,round_win
5,12,2533,5165,eco,smgs,0.3117891095911077,2710,False
5,13,9263,46315,force,mixed,0.6964473160175475,2220,True
5,14,4953,24765,half,smgs,0.5840108052725225,2999,True
5,15,2919,5645,eco,mixed,0.3096253756238987,2715,False
5,16,9124,45620,force,mixed,0.6610706207996742,1786,True
5,17,4791,23955,half,smgs,0.5659825912959489,2022,True
6,1,4116,20580,half,pistols,0.5247910084496165,2357,True
6,2,2364,11820,half,pistols,0.2459238663449177,1472,False
6,3,6240,31200,force,mixed,0.7673838241769169,1530,True
6,4,10171,50855,full,rifles,0.7256385717943223,1701,True
6,5,2014,9325,eco,mixed,0.2162145960419194,3238,False
6,6,8663,43315,force,mixed,0.7517076208744012,2260,True
6,7,10709,53545,full,mixed,0.6956377030568599,3194,True
6,8,5046,25230,force,pistols,0.4957087435557408,2310,False
6,9,3817,19085,half,pistols,0.5839686641478252,2282,True
6,10,5826,29130,force,pistols,0.4925602982420672,2646,False
6,11,4419,22095,half,mixed,0.5833156250454606,1587,True
6,12,3121,15605,half,rifles,0.2731295646426975,1582,False
6,13,2363,11815,half,pistols,0.1637096635604701,2121,False
6,14,15545,77725,full,smgs,0.7161217673832172,3073,True
6,15,2831,6550,eco,smgs,0.3097054701523686,2839,False
6,16,5813,29065,force,smgs,0.500941723443016,2076,True
6,17,2244,11220,half,mixed,0.2267797868845306,2325,False
6,18,1920,9600,eco,smgs,0.2731030446625948,1402,False
6,19,3165,15825,half,mixed,0.2891695254641298,2767,False
6,20,7041,35205,force,smgs,0.7374230556977752,2338,True
7,1,6463,32315,force,rifles,0.7201244902654179,3007,True
7,2,2573,8295,eco,mixed,0.3211184930849254,2530,False
7,3,3157,6125,eco,smgs,0.336944983189879,3196,False
7,4,15640,78200,full,pistols,0.7989429025390897,3513,True
7,5,6914,34570,force,mixed,0.7542659071282513,1559,True
7,6,2934,8690,eco,pistols,0.2095867139179537,1979,False
7,7,11290,56450,full,pistols,0.7084777796721717,3272,True
7,8,6355,31775,force,pistols,0.7761257052632878,1439,True
7,9,3418,17090,half,pistols,0.2709199110444342,1436,False
7,10,2105,6575,eco,smgs,0.3200799296473214,1992,False
7,11,12396,61980,full,smgs,0.782522504626807,1639,True
7,12,3996,19980,half,mixed,0.4748459849120091,1735,False
7,13,2146,5835,eco,mixed,0.3025973808861459,1532,False
7,14,2657,8730,eco,mixed,0.2000969686342793,1934,False
7,15,13741,68705,full,smgs,0.7308014364023824,3585,True
7,16,11690,58450,full,mixed,0.7625100103125847,1616,True
7,17,4913,24565,half,pistols,0.6497833744891983,1813,True
7,18,2585,12925,half,smgs,0.405495927800268,1971,False
8,1,3050,5180,eco,mixed,0.2803361529568091,1800,False
8,2,7752,38760,force,pistols,0.7408401690639806,1609,True
8,3,2703,13515,half,mixed,0.2767252824240275,1859,False
8,4,2028,10140,half,rifles,0.2943827712936918,1678,False
8,5,1927,9635,eco,mixed,0.2339666187221404,1915,False
8,6,5038,25190,force,rifles,0.6397605677956162,1556,True
8,7,6823,34115,force,mixed,0.7615035379595702,3130,True
8,8,10988,54940,full,mixed,0.7748871544545697,3599,True
8,9,2083,10415,half,smgs,0.2832962126027231,2585,False
8,10,8056,40280,force,smgs,0.7710793305307228,3209,True
8,11,13610,68050,full,rifles,0.7919470250234806,2932,True
8,12,2590,12950,half,smgs,0.2191373406726538,1598,False
8,13,10692,53460,full,pistols,0.7220849123026984,3475,True
8,14,2520,12600,half,pistols,0.1949922883514152,1985,False
8,15,2583,12915,half,rifles,0.2719750615310113,2006,False
8,16,5728,28640,force,pistols,0.5889468251756057,2815,True
8,17,2046,8890,eco,pistols,0.2728886433075942,2886,False
8,18,7720,38600,force,mixed,0.8337246216673768,1641,True
8,19,2001,10005,half,smgs,0.2497201990585476,2270,False
8,20,2017,5445,eco,pistols,0.2834370827796256,2286,False
9,1,2311,6520,eco,pistols,0.1954149561930342,2687,False
9,2,3713,18565,half,smgs,0.53064501487628,1650,True
9,3,4054,20270,half,pistols,0.584776887878289,2294,True
9,4,2262,7570,eco,pistols,0.2924551055371572,2413,False
9,5,4134,20670,half,smgs,0.535301652616791,2149,True
9,6,6927,34635,force,mixed,0.7464200374070966,2294,True
9,7,8665,43325,force,pistols,0.6741063126659596,3337,True
9,8,2034,10170,half,smgs,0.2321485399596695,2755,False
9,9,5158,25790,force,pistols,0.5945191581759893,2787,True
9,10,4579,22895,half,pistols,0.5787602508053283,3040,True
9,11,3273,16365,half,mixed,0.2750332860690604,2154,False
9,12,2036,6850,eco,rifles,0.252488684359048,2660,False
9,13,7958,39790,force,rifles,0.7503531579314088,2921,True
9,14,2525,12625,half,smgs,0.2169839430263276,3357,False
9,15,4365,21825,half,rifles,0.5849414210101268,2707,True
9,16,2837,14185,half,smgs,0.2710486472194695,1627,False
9,17,3252,16260,half,rifles,0.2746009423996399,2318,False
9,18,3098,6510,eco,mixed,0.2236982578666209,1669,False
10,1,2857,8020,eco,smgs,0.1423328540064377,2371,False
10,2,1918,7560,eco,rifles,0.3048576355876848,3356,False
10,3,7212,36060,force,mixed,0.7260581271995797,3342,True
10,4,1901,9505,eco,rifles,0.2068612117978439,1733,False
10,5,2094,8205,eco,pistols,0.2846739455956997,1884,False
10,6,6008,30040,force,pistols,0.7303993680040435,1875,True
10,7,2229,8460,eco,mixed,0.3029968192023311,2608,False
10,8,8249,41245,force,pistols,0.7808502974788348,3475,True
10,9,15455,77275,full,pistols,0.7841784661600238,2964,True
10,10,15477,77385,full,smgs,0.6817022144399733,1685,True
10,11,4358,21790,half,rifles,0.6105971992693201,2143,True
10,12,5986,29930,force,smgs,0.5630625265616929,3587,True
10,13,8124,40620,force,rifles,0.7315361430376899,2609,True
10,14,15208,76040,full,pistols,0.7571694233671126,2184,True
10,15,2074,8780,eco,smgs,0.161188238355084,3067,False
10,16,2018,10090,half,rifles,0.2704326405740335,2788,False
11,1,2901,8200,eco,rifles,0.1985314245908964,2110,False
11,2,2916,14580,half,smgs,0.1823664857078232,2840,False
11,3,8568,42840,force,mixed,0.6738820406891054,2541,True
11,4,8865,44325,force,rifles,0.8056344187494963,3547,True
11,5,2348,8140,eco,pistols,0.2185368303153605,3163,False
11,6,5943,29715,force,rifles,0.626686385495825,2097,True
11,7,2845,6815,eco,pistols,0.2232099268473851,2114,False
11,8,2323,11615,half,smgs,0.1646321021203526,3225,False
11,9,3916,19580,half,rifles,0.494173778002567,1690,False
11,10,2105,10525,half,pistols,0.3117905810003469,2043,False
11,11,8530,42650,force,pistols,0.7422050911031666,3206,True
11,12,15047,75235,full,smgs,0.7225856351754699,3075,True
11,13,3798,18990,half,rifles,0.5580009112926394,1540,True
11,14,6243,31215,force,rifles,0.7750891368083772,3406,True
11,15,7425,37125,force,smgs,0.8058699407951231,2577,True
11,16,3316,16580,half,rifles,0.3224249614946463,2625,False
11,17,2145,10725,half,smgs,0.2320115677105457,2649,False
12,1,4708,23540,half,rifles,0.4836976156958981,1818,False
12,2,3546,17730,half,mixed,0.5293267419438362,2169,True
12,3,3826,19130,half,rifles,0.5630140253291444,2997,True
12,4,8351,41755,force,pistols,0.7018120536894694,1687,True
12,5,9131,45655,force,pistols,0.7021424542552479,3299,True
12,6,2072,10360,half,mixed,0.2671893940774942,3065,False
12,7,7475,37375,force,rifles,0.7475673824214775,2175,True
12,8,3735,18675,half,pistols,0.5516398497705793,3261,True
12,9,4774,23870,half,pistols,0.5120752332649966,1753,True
12,10,3821,19105,half,rifles,0.5384799642897117,1607,True
12,11,5632,28160,force,smgs,0.5037883427865848,2256,True
12,12,12562,62810,full,rifles,0.7945099205562394,2727,True
12,13,3540,17700,half,smgs,0.6017624667361877,3056,True
12,14,9037,45185,force,mixed,0.6576906068880953,3173,True
12,15,2040,7495,eco,mixed,0.2035244569903795,3086,False
13,1,3601,18005,half,pistols,0.4751735372454961,2234,False
13,2,13267,66335,full,pistols,0.7174988032796551,1861,True
13,3,2405,12025,half,pistols,0.2458281015104819,1960,False
13,4,4725,23625,half,smgs,0.4775177390150735,2639,False
13,5,2657,8345,eco,pistols,0.2039070093437343,3098,False
13,6,4906,24530,half,rifles,0.4998021313959251,3211,False
13,7,2265,11325,half,smgs,0.2603633664699472,2232,False
13,8,2829,5545,eco,mixed,0.2534672168518125,2298,False
13,9,3960,19800,half,smgs,0.5139131223331374,3031,True
13,10,2542,12710,half,pistols,0.2588410436069699,3251,False
13,11,1992,7230,eco,rifles,0.2226659957706367,1686,False
13,12,9737,48685,force,rifles,0.7364172444836974,3550,True
13,13,2138,5275,eco,pistols,0.3336726045149268,2503,False
13,14,15891,79455,full,rifles,0.8170230525895174,2384,True
13,15,2104,5500,eco,smgs,0.1850209381536201,3113,False
13,16,3508,17540,half,smgs,0.5914866208939588,1554,True
14,1,12645,63225,full,pistols,0.7905698277245796,2004,True
14,2,7708,38540,force,rifles,0.6925868355623691,2436,True
14,3,2459,6060,eco,mixed,0.290938882187743,1896,False
14,4,4442,22210,half,smgs,0.6268965959206276,2028,True
14,5,2144,8965,eco,smgs,0.1938727596877793,3156,False
14,6,8493,42465,force,smgs,0.7041248589492868,1996,True
14,7,2104,10520,half,smgs,0.3008830733421751,1428,False
14,8,14095,70475,full,mixed,0.7635747655412825,2388,True
14,9,2714,13570,half,pistols,0.2775738137619761,3336,False
14,10,1955,9775,eco,smgs,0.2670294608200248,2928,False
14,11,2731,5430,eco,rifles,0.2695347960464072,1765,False
14,12,14494,72470,full,mixed,0.6836763935844459,2098,True
14,13,2824,7695,eco,smgs,0.3023658853310724,2743,False
14,14,3573,17865,half,rifles,0.6084794996213887,2760,True
14,15,7376,36880,force,smgs,0.7385304627965986,1616,True
14,16,2118,10590,half,pistols,0.2478261525093068,3099,False
14,17,3882,19410,half,mixed,0.4734446248722139,2711,False
14,18,3249,16245,half,pistols,0.2757127378008917,2335,False
15,1,3688,18440,half,mixed,0.5786028720857073,1813,True
15,2,3748,18740,half,smgs,0.5468904491500345,1512,True
15,3,15341,76705,full,smgs,0.8062176679935251,2260,True
15,4,2194,8185,eco,mixed,0.2332961384510029,3159,False
15,5,10661,53305,full,rifles,0.77823029629468,2062,True
15,6,2282,11410,half,rifles,0.1990167830653942,1487,False
15,7,7325,36625,force,smgs,0.7488223924562881,3253,True
15,8,15149,75745,full,smgs,0.7412822871048582,2990,True
15,9,5361,26805,force,pistols,0.5612653961020472,3523,True
15,10,6855,34275,force,smgs,0.731523653558332,2072,True
15,11,2539,5045,eco,mixed,0.2434263702164166,1899,False
15,12,7281,36405,force,rifles,0.7913023585720753,2435,True
15,13,15752,78760,full,rifles,0.7281617881380891,3378,True
15,14,2755,8670,eco,pistols,0.169671144963066,3046,False
15,15,11929,59645,full,rifles,0.837479195210271,3092,True
15,16,1916,9105,eco,rifles,0.3190727039345243,2341,False
16,1,13190,65950,full,mixed,0.685386865244719,3364,True
16,2,7947,39735,force,rifles,0.7844853902622597,1761,True
16,3,2593,12965,half,pistols,0.2248512614724328,2063,False
16,4,5541,27705,force,pistols,0.563174360766553,2526,True
16,5,1970,9335,eco,rifles,0.2647112064506747,2230,False
16,6,7810,39050,force,smgs,0.7382796099841838,2570,True
16,7,3019,15095,half,rifles,0.2108117167206801,1798,False
16,8,3582,17910,half,pistols,0.515472947384187,1536,True
16,9,15692,78460,full,pistols,0.7041904042259379,3485,True
16,10,13920,69600,full,mixed,0.7084088895884778,2162,True
16,11,15017,75085,full,rifles,0.7466410854975323,1648,True
16,12,1916,9580,eco,rifles,0.2142120005444624,2142,False
16,13,7978,39890,force,mixed,0.784102603285631,2992,True
16,14,3192,7710,eco,pistols,0.3243623077667963,1813,False
16,15,3243,16215,half,mixed,0.2209973379314978,3152,False
16,16,15932,79660,full,smgs,0.7619702250267688,3242,True
16,17,4297,21485,half,rifles,0.5749842555151468,2493,True
16,18,2204,8190,eco,pistols,0.2736001135459637,2343,False
17,1,8959,44795,force,mixed,0.7537977633958044,3204,True
17,2,3753,18765,half,pistols,0.5871341209179861,2252,True
17,3,2930,6915,eco,smgs,0.2741124476340328,2414,False
17,4,10572,52860,full,rifles,0.6881168788836352,2553,True
17,5,3704,18520,half,mixed,0.5934578032194637,3000,True
17,6,8588,42940,force,pistols,0.7943645418633372,2480,True
17,7,4889,24445,half,rifles,0.5118356947910709,1743,True
17,8,1935,9675,eco,rifles,0.2518968917723801,3254,False
17,9,2716,7800,eco,pistols,0.2841664496405535,1613,False
17,10,3026,8270,eco,rifles,0.2395343090210319,2181,False
17,11,7105,35525,force,rifles,0.8036489023883006,2720,True
17,12,3011,15055,half,mixed,0.368193624730968,3214,False
17,13,2720,8000,eco,rifles,0.2107006983682509,1875,False
17,14,4211,21055,half,mixed,0.4809477698423113,3367,False
17,15,9563,47815,force,rifles,0.7651909297802438,1858,True
17,16,3649,18245,half,smgs,0.5860781252563072,1619,True
17,17,2092,5640,eco,smgs,0.2384566813077615,3181,False
17,18,7696,38480,force,mixed,0.8226630331660517,3310,True
17,19,2428,5075,eco,mixed,0.1830697100138375,2323,False
18,1,2070,7525,eco,smgs,0.2846459311515805,3260,False
18,2,7400,37000,force,rifles,0.7197069589620553,2900,True
18,3,2150,6320,eco,mixed,0.3359688953103648,2995,False
18,4,3418,17090,half,pistols,0.3496257676584059,2554,False
18,5,3130,7935,eco,rifles,0.2116671706108326,1555,False
18,6,2440,8795,eco,rifles,0.2225221432045709,2342,False
18,7,6098,30490,force,smgs,0.7929793943489901,3085,True
18,8,12909,64545,full,mixed,0.7306434675105242,1871,True
18,9,1929,9645,eco,rifles,0.2477294391033881,2470,False
18,10,1934,9670,eco,mixed,0.2512694210271205,1841,False
18,11,3838,19190,half,mixed,0.4540163421901172,2725,False
18,12,5459,27295,force,mixed,0.5493081126952882,1818,True
18,13,3466,17330,half,smgs,0.2155136112967913,1949,False
18,14,2315,5705,eco,mixed,0.2253438588800114,2930,False
18,15,5280,26400,force,smgs,0.6221816001734407,1553,True
18,16,9757,48785,force,pistols,0.6871746552860372,1772,True
18,17,9728,48640,force,rifles,0.7906602593373988,2611,True
18,18,3143,15715,half,rifles,0.2360518534834095,1719,False
18,19,2693,8360,eco,pistols,0.2360119915752082,1733,False
18,20,10987,54935,full,smgs,0.7895185948025856,3560,True
19,1,4928,24640,half,rifles,0.5670025647284446,2378,True
19,2,2493,12465,half,smgs,0.2785306498609765,2624,False
19,3,3067,7220,eco,smgs,0.2984092330266431,1879,False
19,4,3031,15155,half,smgs,0.2334345808408338,3296,False
19,5,9915,49575,force,pistols,0.7193881632746125,3242,True
19,6,9600,48000,force,pistols,0.6957424736721101,2171,True
19,7,4123,20615,half,smgs,0.5087294735010522,2585,True
19,8,4998,24990,half,mixed,0.6974547212654363,1682,True
19,9,14457,72285,full,pistols,0.8122339790368394,1692,True
19,10,4800,24000,half,mixed,0.4824462816895989,3112,False
19,11,1924,8260,eco,mixed,0.1838771021628215,2559,False
19,12,2403,12015,half,smgs,0.2740933030859245,2017,False
19,13,2567,6810,eco,mixed,0.2773632398688983,1952,False
19,14,12866,64330,full,mixed,0.7774441917658682,3327,True
19,15,3517,17585,half,mixed,0.5372522103223152,1400,True
19,16,14679,73395,full,smgs,0.743727286999855,2863,True
19,17,5987,29935,force,smgs,0.5663939762079679,2776,True
19,18,8741,43705,force,pistols,0.7542946503146665,3296,True
19,19,2419,12095,half,pistols,0.1390349813626232,2507,False
20,1,8449,42245,force,mixed,0.7385100184712403,1801,True
20,2,2996,7245,eco,smgs,0.2074296782869843,1609,False
20,3,5770,28850,force,smgs,0.5587605709454256,1986,True
20,4,4343,21715,half,mixed,0.6992629501301706,1834,True
20,5,3998,19990,half,pistols,0.5683740832737153,2928,True
20,6,15557,77785,full,smgs,0.7343235156913801,2019,True
20,7,14020,70100,full,pistols,0.7960900750988626,3423,True
20,8,4242,21210,half,mixed,0.5741343943604607,1759,True
20,9,7041,35205,force,smgs,0.771004724522592,1839,True
20,10,2531,8335,eco,mixed,0.2803425296607835,2232,False
20,11,3016,5960,eco,rifles,0.3528271782414771,2850,False
20,12,9912,49560,force,mixed,0.6934555782337042,1924,True
20,13,2929,14645,half,mixed,0.2736816038405727,3048,False
20,14,3457,17285,half,mixed,0.203680943500923,1474,False
20,15,3178,15890,half,smgs,0.2777756323171124,1644,False
