round,round_win,player_economy,econ_effectiveness
1,False,2311,0.1954149561930342
2,True,3713,0.53064501487628
3,True,4054,0.584776887878289
4,False,2262,0.2924551055371572
5,True,4134,0.535301652616791
6,True,6927,0.7464200374070966
7,True,8665,0.6741063126659596
8,False,2034,0.2321485399596695
9,True,5158,0.5945191581759893
10,True,4579,0.5787602508053283
11,False,3273,0.2750332860690604
12,False,2036,0.252488684359048
13,True,7958,0.7503531579314088
14,False,2525,0.2169839430263276
15,True,4365,0.5849414210101268
16,False,2837,0.2710486472194695
17,False,3252,0.2746009423996399
18,False,3098,0.2236982578666209
1,False,2857,0.1423328540064377
2,False,1918,0.3048576355876848
3,True,7212,0.7260581271995797
4,False,1901,0.2068612117978439
5,False,2094,0.2846739455956997
6,True,6008,0.7303993680040435
7,False,2229,0.3029968192023311
8,True,8249,0.7808502974788348
9,True,15455,0.7841784661600238
10,True,15477,0.6817022144399733
11,True,4358,0.6105971992693201
12,True,5986,0.5630625265616929
13,True,8124,0.7315361430376899
14,True,15208,0.7571694233671126
15,False,2074,0.161188238355084
16,False,2018,0.2704326405740335
1,False,2901,0.1985314245908964
2,False,2916,0.1823664857078232
3,True,8568,0.6738820406891054
4,True,8865,0.8056344187494963
5,False,2348,0.2185368303153605
6,True,5943,0.626686385495825
7,False,2845,0.2232099268473851
8,False,2323,0.1646321021203526
9,False,3916,0.494173778002567
10,False,2105,0.3117905810003469
11,True,8530,0.7422050911031666
12,True,15047,0.7225856351754699
13,True,3798,0.5580009112926394
14,True,6243,0.7750891368083772
15,True,7425,0.8058699407951231
16,False,3316,0.3224249614946463
17,False,2145,0.2320115677105457
1,False,4708,0.4836976156958981
2,True,3546,0.5293267419438362
3,True,3826,0.5630140253291444
4,True,8351,0.7018120536894694
5,True,9131,0.7021424542552479
6,False,2072,0.2671893940774942
7,True,7475,0.7475673824214775
8,True,3735,0.5516398497705793
9,True,4774,0.5120752332649966
10,True,3821,0.5384799642897117
11,True,5632,0.5037883427865848
12,True,12562,0.7945099205562394
13,True,3540,0.6017624667361877
14,True,9037,0.6576906068880953
15,False,2040,0.2035244569903795
1,False,3601,0.4751735372454961
2,True,13267,0.7174988032796551
3,False,2405,0.2458281015104819
4,False,4725,0.4775177390150735
5,False,2657,0.2039070093437343
6,False,4906,0.4998021313959251
7,False,2265,0.2603633664699472
8,False,2829,0.2534672168518125
9,True,3960,0.5139131223331374
10,False,2542,0.2588410436069699
11,False,1992,0.2226659957706367
12,True,9737,0.7364172444836974
13,False,2138,0.3336726045149268
14,True,15891,0.8170230525895174
15,False,2104,0.1850209381536201
16,True,3508,0.5914866208939588
1,True,12645,0.7905698277245796
2,True,7708,0.6925868355623691
3,False,2459,0.290938882187743
4,True,4442,0.6268965959206276
5,False,2144,0.1938727596877793
6,True,8493,0.7041248589492868
7,False,2104,0.3008830733421751
8,True,14095,0.7635747655412825
9,False,2714,0.2775738137619761
10,False,1955,0.2670294608200248
11,False,2731,0.2695347960464072
12,True,14494,0.6836763935844459
13,False,2824,0.3023658853310724
14,True,3573,0.6084794996213887
15,True,7376,0.7385304627965986
16,False,2118,0.2478261525093068
17,False,3882,0.4734446248722139
18,False,3249,0.2757127378008917
1,True,3688,0.5786028720857073
2,True,3748,0.5468904491500345
3,True,15341,0.8062176679935251
4,False,2194,0.2332961384510029
5,True,10661,0.77823029629468
6,False,2282,0.1990167830653942
7,True,7325,0.7488223924562881
8,True,15149,0.7412822871048582
9,True,5361,0.5612653961020472
10,True,6855,0.731523653558332
11,False,2539,0.2434263702164166
12,True,7281,0.7913023585720753
13,True,15752,0.7281617881380891
14,False,2755,0.169671144963066
15,True,11929,0.837479195210271
16,False,1916,0.3190727039345243
1,True,13190,0.685386865244719
2,True,7947,0.7844853902622597
3,False,2593,0.2248512614724328
4,True,5541,0.563174360766553
5,False,1970,0.2647112064506747
6,True,7810,0.7382796099841838
7,False,3019,0.2108117167206801
8,True,3582,0.515472947384187
9,True,15692,0.7041904042259379
10,True,13920,0.7084088895884778
11,True,15017,0.7466410854975323
12,False,1916,0.2142120005444624
13,True,7978,0.784102603285631
14,False,3192,0.3243623077667963
15,False,3243,0.2209973379314978
16,True,15932,0.7619702250267688
17,True,4297,0.5749842555151468
18,False,2204,0.2736001135459637
1,True,8959,0.7537977633958044
2,True,3753,0.5871341209179861
3,False,2930,0.2741124476340328
4,True,10572,0.6881168788836352
5,True,3704,0.5934578032194637
6,True,8588,0.7943645418633372
7,True,4889,0.5118356947910709
8,False,1935,0.2518968917723801
9,False,2716,0.2841664496405535
10,False,3026,0.2395343090210319
11,True,7105,0.8036489023883006
12,False,3011,0.368193624730968
13,False,2720,0.2107006983682509
14,False,4211,0.4809477698423113
15,True,9563,0.7651909297802438
16,True,3649,0.5860781252563072
17,False,2092,0.2384566813077615
18,True,7696,0.8226630331660517
19,False,2428,0.1830697100138375
1,False,2070,0.2846459311515805
2,True,7400,0.7197069589620553
3,False,2150,0.3359688953103648
4,False,3418,0.3496257676584059
5,False,3130,0.2116671706108326
6,False,2440,0.2225221432045709
7,True,6098,0.7929793943489901
8,True,12909,0.7306434675105242
9,False,1929,0.2477294391033881
10,False,1934,0.2512694210271205
11,False,3838,0.4540163421901172
12,True,5459,0.5493081126952882
13,False,3466,0.2155136112967913
14,False,2315,0.2253438588800114
15,True,5280,0.6221816001734407
16,True,9757,0.6871746552860372
17,True,9728,0.7906602593373988
18,False,3143,0.2360518534834095
19,False,2693,0.2360119915752082
20,True,10987,0.7895185948025856
1,True,4928,0.5670025647284446
2,False,2493,0.2785306498609765
3,False,3067,0.2984092330266431
4,False,3031,0.2334345808408338
5,True,9915,0.7193881632746125
6,True,9600,0.6957424736721101
7,True,4123,0.5087294735010522
8,True,4998,0.6974547212654363
9,True,14457,0.8122339790368394
10,False,4800,0.4824462816895989
11,False,1924,0.1838771021628215
12,False,2403,0.2740933030859245
13,False,2567,0.2773632398688983
14,True,12866,0.7774441917658682
15,True,3517,0.5372522103223152
16,True,14679,0.743727286999855
17,True,5987,0.5663939762079679
18,True,8741,0.7542946503146665
19,False,2419,0.1390349813626232
1,True,8449,0.7385100184712403
2,False,2996,0.2074296782869843
3,True,5770,0.5587605709454256
4,True,4343,0.6992629501301706
5,True,3998,0.5683740832737153
6,True,15557,0.7343235156913801
7,True,14020,0.7960900750988626
8,True,4242,0.5741343943604607
9,True,7041,0.771004724522592
10,False,2531,0.2803425296607835
11,False,3016,0.3528271782414771
12,True,9912,0.6934555782337042
13,False,2929,0.2736816038405727
14,False,3457,0.203680943500923
15,False,3178,0.2777756323171124
